	African	CelticEnglish	EastAsian	European	Greek	Hispanic	Jewish	Muslim	Nordic	SouthAsian
Dan Gusfield	0.0019483311	0.9370327	0.02911346	0.008450849	0.0008165328	0.013107781	0.0004462497	0.0016634988	0.0038671182	0.0035534473
Helen Berman	0.050926868	0.51465166	0.012529403	0.2238014	0.0012308273	0.018234704	0.042255916	0.04697452	0.07509005	0.014304661
Steven Brenner	0.024224447	0.77801317	0.004010381	0.15181024	0.0009964062	0.015347509	0.004389331	0.0025343997	0.0066244006	0.012049712
Tandy Warnow	0.16464216	0.22261871	0.325839	0.13611667	0.0016882683	0.02338761	0.006456804	0.03754723	0.004122496	0.07758101
Olga Troyanskaya	0.001748782	0.0040533664	0.004269818	0.8821286	0.0013421248	0.071074665	0.0009788924	0.032851048	0.0013827239	0.00016988105
William Noble	0.025835956	0.91540223	0.0060195406	0.017841797	0.00076491025	0.0144630475	0.0008995817	0.0130288275	0.0016310865	0.0041129584
Lior Pachter	0.00048498917	0.0005156463	9.54241e-05	0.03842409	1.04045175e-05	0.00038996778	0.95917624	0.0002389853	0.0005789937	8.518926e-05
Anders Krogh	5.247392e-07	7.139894e-06	3.722206e-08	0.00019785952	3.3538916e-07	4.7648868e-07	1.4921957e-07	4.13782e-07	0.999793	8.176807e-08
Andrea Califano	0.010738585	0.030146778	0.009859807	0.81577605	0.08683046	0.037748322	0.0005571572	0.0046464475	0.003418052	0.00027838393
Alex Bateman	0.028612204	0.80427057	0.0036493395	0.08846196	0.0012806953	0.012036029	0.02088815	0.032417286	0.0015004951	0.006883188
Mike Steel	0.015730813	0.749817	0.0063898577	0.10496861	0.0016194448	0.012318612	0.003302911	0.015397969	0.038313452	0.05214125
Mona Singh	0.0055103027	0.027240595	0.018733418	0.007350179	0.00012819513	0.002079384	0.00012760221	0.009513748	0.002310581	0.927006
Bernard Moret	0.015849119	0.053294837	0.0038559353	0.89882916	0.0010918247	0.012783553	0.002846144	0.0021973315	0.008169818	0.0010823543
William Pearson	0.015936894	0.92406523	0.0070494367	0.011546525	0.0010785895	0.013136621	0.007149566	0.0068988525	0.0009990854	0.012139249
Hanah Margalit	0.0011506072	0.0034435755	0.0015713308	0.0012086283	0.00017314417	0.0007346976	0.9819531	0.0064617735	0.000101371494	0.0032015964
Yves Moreau	0.0016559168	0.0017762717	0.00043499013	0.9897059	0.00027950737	0.0043920693	3.468361e-05	0.0007933712	0.0008610436	6.615043e-05
Terry Gaasterland	0.00020368301	0.0022265052	0.000808937	0.7994727	0.0002466961	0.006186849	4.9767135e-05	0.0004180277	0.1900788	0.00030795016
Patricia Babbit	0.014668012	0.79833144	0.025923552	0.072786294	0.001990435	0.06045288	0.00012788652	0.004721788	0.00145098	0.019546693
Vineet Bafna	0.0039973124	0.0060681542	0.0007425328	0.011168299	5.352018e-06	0.00023756141	0.007689066	0.0026792253	9.5651594e-05	0.9673169
Eleazar Eskin	0.005968057	0.010846062	0.002143142	0.8798995	0.0046763965	0.027553868	0.0055489643	0.019346757	0.041610666	0.0024066172
Shirley Liu	0.0047553377	0.0817647	0.8964574	0.0065281475	0.0004933744	0.0064413915	0.00027784662	0.00059366325	0.0011735922	0.0015145574
Marie-France Sagot	0.015595415	0.0004481031	3.9844017e-05	0.9838288	2.506094e-06	1.9631214e-05	1.9599841e-07	3.0071938e-05	1.9381678e-05	1.6190093e-05
Serafim Batzoglou	0.024325801	0.0040158955	0.000558086	0.108663864	0.84792066	0.0048769964	0.0010692088	0.007182736	0.0012014401	0.00018532443
